measured0,measured1,measured2,range0,range1,range2,range3,range4,range5,uuid,timestamp,range,measured,res
74,20,75,20,80,10,20,30,70,23446,2021-06-15 15:57:48,"[20, 80, 10, 20, 30, 70]","[74, 20, 75]",0
57,9,28,20,80,10,20,30,70,43571,2021-06-13 14:21:33,"[20, 80, 10, 20, 30, 70]","[57, 9, 28]",0
25,19,38,20,80,10,20,30,70,72933,2021-06-19 14:59:58,"[20, 80, 10, 20, 30, 70]","[25, 19, 38]",1
57,22,76,20,80,10,20,30,70,46935,2021-06-23 11:04:18,"[20, 80, 10, 20, 30, 70]","[57, 22, 76]",0
55,18,79,20,80,10,20,30,70,35532,2021-06-13 16:17:32,"[20, 80, 10, 20, 30, 70]","[55, 18, 79]",0
82,15,49,20,80,10,20,30,70,44145,2021-06-15 15:50:01,"[20, 80, 10, 20, 30, 70]","[82, 15, 49]",0
48,20,52,20,80,10,20,30,70,84520,2021-06-28 16:54:20,"[20, 80, 10, 20, 30, 70]","[48, 20, 52]",1
45,24,70,20,80,10,20,30,70,45495,2021-06-10 13:19:45,"[20, 80, 10, 20, 30, 70]","[45, 24, 70]",0
28,25,59,20,80,10,20,30,70,82224,2021-06-20 17:22:14,"[20, 80, 10, 20, 30, 70]","[28, 25, 59]",0
23,21,46,20,80,10,20,30,70,48925,2021-06-11 15:02:12,"[20, 80, 10, 20, 30, 70]","[23, 21, 46]",0
66,11,75,20,80,10,20,30,70,80417,2021-06-18 13:58:02,"[20, 80, 10, 20, 30, 70]","[66, 11, 75]",0
21,7,61,20,80,10,20,30,70,78394,2021-06-25 10:12:27,"[20, 80, 10, 20, 30, 70]","[21, 7, 61]",0
29,21,58,20,80,10,20,30,70,64211,2021-06-20 15:00:00,"[20, 80, 10, 20, 30, 70]","[29, 21, 58]",0
81,15,78,20,80,10,20,30,70,13954,2021-06-25 08:31:05,"[20, 80, 10, 20, 30, 70]","[81, 15, 78]",0
42,14,59,20,80,10,20,30,70,58781,2021-06-23 14:47:51,"[20, 80, 10, 20, 30, 70]","[42, 14, 59]",1
26,14,75,20,80,10,20,30,70,78292,2021-06-11 15:48:11,"[20, 80, 10, 20, 30, 70]","[26, 14, 75]",0
27,11,64,20,80,10,20,30,70,73373,2021-06-28 09:03:18,"[20, 80, 10, 20, 30, 70]","[27, 11, 64]",1
50,12,69,20,80,10,20,30,70,58257,2021-06-21 18:58:29,"[20, 80, 10, 20, 30, 70]","[50, 12, 69]",1
58,15,66,20,80,10,20,30,70,34785,2021-06-12 16:53:33,"[20, 80, 10, 20, 30, 70]","[58, 15, 66]",1
49,8,43,20,80,10,20,30,70,11529,2021-06-28 15:21:37,"[20, 80, 10, 20, 30, 70]","[49, 8, 43]",0
74,14,51,20,80,10,20,30,70,24880,2021-06-24 11:03:27,"[20, 80, 10, 20, 30, 70]","[74, 14, 51]",1
80,13,75,20,80,10,20,30,70,58152,2021-06-23 08:56:16,"[20, 80, 10, 20, 30, 70]","[80, 13, 75]",0
78,7,75,20,80,10,20,30,70,33232,2021-06-10 09:32:44,"[20, 80, 10, 20, 30, 70]","[78, 7, 75]",0
74,8,73,20,80,10,20,30,70,86583,2021-06-15 13:59:44,"[20, 80, 10, 20, 30, 70]","[74, 8, 73]",0
84,19,63,20,80,10,20,30,70,18832,2021-06-23 09:59:50,"[20, 80, 10, 20, 30, 70]","[84, 19, 63]",0
75,17,32,20,80,10,20,30,70,63536,2021-06-28 10:40:17,"[20, 80, 10, 20, 30, 70]","[75, 17, 32]",1
36,9,36,20,80,10,20,30,70,66233,2021-06-20 09:46:16,"[20, 80, 10, 20, 30, 70]","[36, 9, 36]",0
84,7,44,20,80,10,20,30,70,38968,2021-06-27 10:05:43,"[20, 80, 10, 20, 30, 70]","[84, 7, 44]",0
43,10,56,20,80,10,20,30,70,33629,2021-06-27 17:48:49,"[20, 80, 10, 20, 30, 70]","[43, 10, 56]",1
25,6,57,20,80,10,20,30,70,80675,2021-06-28 17:31:04,"[20, 80, 10, 20, 30, 70]","[25, 6, 57]",0
50,21,80,20,80,10,20,30,70,10350,2021-06-28 11:31:40,"[20, 80, 10, 20, 30, 70]","[50, 21, 80]",0
24,24,62,20,80,10,20,30,70,32592,2021-06-28 16:56:06,"[20, 80, 10, 20, 30, 70]","[24, 24, 62]",0
29,24,72,20,80,10,20,30,70,60393,2021-06-16 10:58:38,"[20, 80, 10, 20, 30, 70]","[29, 24, 72]",0
36,21,40,20,80,10,20,30,70,35568,2021-06-12 18:38:22,"[20, 80, 10, 20, 30, 70]","[36, 21, 40]",0
17,22,50,20,80,10,20,30,70,20645,2021-06-26 18:15:53,"[20, 80, 10, 20, 30, 70]","[17, 22, 50]",0
68,10,76,20,80,10,20,30,70,82714,2021-06-18 08:14:43,"[20, 80, 10, 20, 30, 70]","[68, 10, 76]",0
50,17,57,20,80,10,20,30,70,10067,2021-06-27 09:10:16,"[20, 80, 10, 20, 30, 70]","[50, 17, 57]",1
78,13,54,20,80,10,20,30,70,70544,2021-06-16 08:43:27,"[20, 80, 10, 20, 30, 70]","[78, 13, 54]",1
83,17,33,20,80,10,20,30,70,57642,2021-06-18 16:06:23,"[20, 80, 10, 20, 30, 70]","[83, 17, 33]",0
73,7,37,20,80,10,20,30,70,18938,2021-06-26 15:55:56,"[20, 80, 10, 20, 30, 70]","[73, 7, 37]",0
16,5,56,20,80,10,20,30,70,70024,2021-06-15 18:45:19,"[20, 80, 10, 20, 30, 70]","[16, 5, 56]",0
54,25,74,20,80,10,20,30,70,43456,2021-06-28 17:57:57,"[20, 80, 10, 20, 30, 70]","[54, 25, 74]",0
47,11,28,20,80,10,20,30,70,60875,2021-06-22 12:20:03,"[20, 80, 10, 20, 30, 70]","[47, 11, 28]",0
84,13,51,20,80,10,20,30,70,48752,2021-06-20 08:59:20,"[20, 80, 10, 20, 30, 70]","[84, 13, 51]",0
83,10,59,20,80,10,20,30,70,72059,2021-06-17 15:35:43,"[20, 80, 10, 20, 30, 70]","[83, 10, 59]",0
42,11,75,20,80,10,20,30,70,78325,2021-06-16 09:05:02,"[20, 80, 10, 20, 30, 70]","[42, 11, 75]",0
25,21,55,20,80,10,20,30,70,27354,2021-06-13 10:46:38,"[20, 80, 10, 20, 30, 70]","[25, 21, 55]",0
84,20,66,20,80,10,20,30,70,69147,2021-06-18 10:43:42,"[20, 80, 10, 20, 30, 70]","[84, 20, 66]",0
39,12,56,20,80,10,20,30,70,20489,2021-06-19 10:01:53,"[20, 80, 10, 20, 30, 70]","[39, 12, 56]",1
46,24,44,20,80,10,20,30,70,65844,2021-06-12 17:21:15,"[20, 80, 10, 20, 30, 70]","[46, 24, 44]",0
65,15,73,20,80,10,20,30,70,60429,2021-06-25 14:06:20,"[20, 80, 10, 20, 30, 70]","[65, 15, 73]",0
38,19,40,20,80,10,20,30,70,25260,2021-06-11 08:23:51,"[20, 80, 10, 20, 30, 70]","[38, 19, 40]",1
68,24,42,20,80,10,20,30,70,64017,2021-06-20 14:45:41,"[20, 80, 10, 20, 30, 70]","[68, 24, 42]",0
77,6,32,20,80,10,20,30,70,77276,2021-06-17 17:03:03,"[20, 80, 10, 20, 30, 70]","[77, 6, 32]",0
21,9,48,20,80,10,20,30,70,74954,2021-06-24 16:58:22,"[20, 80, 10, 20, 30, 70]","[21, 9, 48]",0
16,14,60,20,80,10,20,30,70,14596,2021-06-19 13:19:07,"[20, 80, 10, 20, 30, 70]","[16, 14, 60]",0
36,12,80,20,80,10,20,30,70,22714,2021-06-28 18:45:50,"[20, 80, 10, 20, 30, 70]","[36, 12, 80]",0
41,24,51,20,80,10,20,30,70,30765,2021-06-21 12:16:56,"[20, 80, 10, 20, 30, 70]","[41, 24, 51]",0
73,8,50,20,80,10,20,30,70,28401,2021-06-19 15:47:27,"[20, 80, 10, 20, 30, 70]","[73, 8, 50]",0
84,16,70,20,80,10,20,30,70,65741,2021-06-23 13:58:45,"[20, 80, 10, 20, 30, 70]","[84, 16, 70]",0
23,22,59,20,80,10,20,30,70,22709,2021-06-17 14:13:34,"[20, 80, 10, 20, 30, 70]","[23, 22, 59]",0
51,13,68,20,80,10,20,30,70,77821,2021-06-10 13:05:04,"[20, 80, 10, 20, 30, 70]","[51, 13, 68]",1
82,18,61,20,80,10,20,30,70,47088,2021-06-25 09:24:47,"[20, 80, 10, 20, 30, 70]","[82, 18, 61]",0
43,13,69,20,80,10,20,30,70,78235,2021-06-11 18:26:11,"[20, 80, 10, 20, 30, 70]","[43, 13, 69]",1
17,6,28,20,80,10,20,30,70,22126,2021-06-20 18:45:42,"[20, 80, 10, 20, 30, 70]","[17, 6, 28]",0
29,17,68,20,80,10,20,30,70,77308,2021-06-27 14:06:59,"[20, 80, 10, 20, 30, 70]","[29, 17, 68]",1
24,24,71,20,80,10,20,30,70,63329,2021-06-23 10:01:02,"[20, 80, 10, 20, 30, 70]","[24, 24, 71]",0
45,9,28,20,80,10,20,30,70,82571,2021-06-23 15:55:19,"[20, 80, 10, 20, 30, 70]","[45, 9, 28]",0
73,12,71,20,80,10,20,30,70,60602,2021-06-20 12:19:53,"[20, 80, 10, 20, 30, 70]","[73, 12, 71]",0
22,15,46,20,80,10,20,30,70,50477,2021-06-25 16:20:26,"[20, 80, 10, 20, 30, 70]","[22, 15, 46]",1
61,15,67,20,80,10,20,30,70,41482,2021-06-14 11:44:13,"[20, 80, 10, 20, 30, 70]","[61, 15, 67]",1
18,15,31,20,80,10,20,30,70,69969,2021-06-26 10:54:17,"[20, 80, 10, 20, 30, 70]","[18, 15, 31]",0
84,6,78,20,80,10,20,30,70,36919,2021-06-10 09:03:06,"[20, 80, 10, 20, 30, 70]","[84, 6, 78]",0
43,6,62,20,80,10,20,30,70,66130,2021-06-26 14:56:05,"[20, 80, 10, 20, 30, 70]","[43, 6, 62]",0
22,8,77,20,80,10,20,30,70,35746,2021-06-22 13:25:25,"[20, 80, 10, 20, 30, 70]","[22, 8, 77]",0
57,5,67,20,80,10,20,30,70,52941,2021-06-17 14:18:05,"[20, 80, 10, 20, 30, 70]","[57, 5, 67]",0
70,7,63,20,80,10,20,30,70,41143,2021-06-28 17:09:35,"[20, 80, 10, 20, 30, 70]","[70, 7, 63]",0
68,7,31,20,80,10,20,30,70,27785,2021-06-22 10:00:00,"[20, 80, 10, 20, 30, 70]","[68, 7, 31]",0
47,23,35,20,80,10,20,30,70,53353,2021-06-29 13:05:47,"[20, 80, 10, 20, 30, 70]","[47, 23, 35]",0
79,15,48,20,80,10,20,30,70,14090,2021-06-12 08:29:39,"[20, 80, 10, 20, 30, 70]","[79, 15, 48]",1
84,25,79,20,80,10,20,30,70,85448,2021-06-28 09:22:55,"[20, 80, 10, 20, 30, 70]","[84, 25, 79]",0
72,7,35,20,80,10,20,30,70,44144,2021-06-18 09:06:36,"[20, 80, 10, 20, 30, 70]","[72, 7, 35]",0
25,13,31,20,80,10,20,30,70,85330,2021-06-13 18:52:08,"[20, 80, 10, 20, 30, 70]","[25, 13, 31]",1
49,17,66,20,80,10,20,30,70,59313,2021-06-24 11:27:54,"[20, 80, 10, 20, 30, 70]","[49, 17, 66]",1
85,8,31,20,80,10,20,30,70,64190,2021-06-29 15:54:22,"[20, 80, 10, 20, 30, 70]","[85, 8, 31]",0
78,23,62,20,80,10,20,30,70,41565,2021-06-20 18:46:24,"[20, 80, 10, 20, 30, 70]","[78, 23, 62]",0
54,22,74,20,80,10,20,30,70,47381,2021-06-18 12:49:13,"[20, 80, 10, 20, 30, 70]","[54, 22, 74]",0
55,16,67,20,80,10,20,30,70,88657,2021-06-16 18:50:09,"[20, 80, 10, 20, 30, 70]","[55, 16, 67]",1
36,9,60,20,80,10,20,30,70,53962,2021-06-10 17:54:40,"[20, 80, 10, 20, 30, 70]","[36, 9, 60]",0
21,6,63,20,80,10,20,30,70,15260,2021-06-19 16:27:53,"[20, 80, 10, 20, 30, 70]","[21, 6, 63]",0
64,13,46,20,80,10,20,30,70,23952,2021-06-17 12:20:26,"[20, 80, 10, 20, 30, 70]","[64, 13, 46]",1
31,14,58,20,80,10,20,30,70,85398,2021-06-29 15:06:22,"[20, 80, 10, 20, 30, 70]","[31, 14, 58]",1
78,14,56,20,80,10,20,30,70,21803,2021-06-29 15:53:00,"[20, 80, 10, 20, 30, 70]","[78, 14, 56]",1
62,21,38,20,80,10,20,30,70,60089,2021-06-27 18:17:31,"[20, 80, 10, 20, 30, 70]","[62, 21, 38]",0
36,12,69,20,80,10,20,30,70,13536,2021-06-17 17:58:24,"[20, 80, 10, 20, 30, 70]","[36, 12, 69]",1
56,9,70,20,80,10,20,30,70,26241,2021-06-22 16:34:03,"[20, 80, 10, 20, 30, 70]","[56, 9, 70]",0
56,15,75,20,80,10,20,30,70,83190,2021-06-26 13:57:39,"[20, 80, 10, 20, 30, 70]","[56, 15, 75]",0
84,21,78,20,80,10,20,30,70,57629,2021-06-20 09:33:35,"[20, 80, 10, 20, 30, 70]","[84, 21, 78]",0
63,15,43,20,80,10,20,30,70,15573,2021-06-16 18:05:01,"[20, 80, 10, 20, 30, 70]","[63, 15, 43]",1
73,20,33,20,80,10,20,30,70,50187,2021-06-12 12:25:41,"[20, 80, 10, 20, 30, 70]","[73, 20, 33]",1
57,5,47,20,80,10,20,30,70,85713,2021-06-14 18:12:41,"[20, 80, 10, 20, 30, 70]","[57, 5, 47]",0
61,8,54,20,80,10,20,30,70,70291,2021-06-21 11:50:22,"[20, 80, 10, 20, 30, 70]","[61, 8, 54]",0
43,19,30,20,80,10,20,30,70,38786,2021-06-24 17:16:52,"[20, 80, 10, 20, 30, 70]","[43, 19, 30]",1
76,20,54,20,80,10,20,30,70,50405,2021-06-21 15:12:29,"[20, 80, 10, 20, 30, 70]","[76, 20, 54]",1
59,18,78,20,80,10,20,30,70,73239,2021-06-20 18:52:30,"[20, 80, 10, 20, 30, 70]","[59, 18, 78]",0
35,5,28,20,80,10,20,30,70,36620,2021-06-20 16:05:17,"[20, 80, 10, 20, 30, 70]","[35, 5, 28]",0
71,21,43,20,80,10,20,30,70,23842,2021-06-18 08:53:47,"[20, 80, 10, 20, 30, 70]","[71, 21, 43]",0
75,14,37,20,80,10,20,30,70,65973,2021-06-10 11:44:00,"[20, 80, 10, 20, 30, 70]","[75, 14, 37]",1
76,24,47,20,80,10,20,30,70,49048,2021-06-18 08:52:12,"[20, 80, 10, 20, 30, 70]","[76, 24, 47]",0
24,9,61,20,80,10,20,30,70,23107,2021-06-24 11:05:10,"[20, 80, 10, 20, 30, 70]","[24, 9, 61]",0
34,21,44,20,80,10,20,30,70,33456,2021-06-11 08:34:09,"[20, 80, 10, 20, 30, 70]","[34, 21, 44]",0
80,9,68,20,80,10,20,30,70,19476,2021-06-20 16:06:15,"[20, 80, 10, 20, 30, 70]","[80, 9, 68]",0
74,18,80,20,80,10,20,30,70,55721,2021-06-12 13:52:59,"[20, 80, 10, 20, 30, 70]","[74, 18, 80]",0
60,14,63,20,80,10,20,30,70,53372,2021-06-16 17:40:04,"[20, 80, 10, 20, 30, 70]","[60, 14, 63]",1
33,24,52,20,80,10,20,30,70,28344,2021-06-23 08:49:11,"[20, 80, 10, 20, 30, 70]","[33, 24, 52]",0
75,5,44,20,80,10,20,30,70,27035,2021-06-17 09:07:36,"[20, 80, 10, 20, 30, 70]","[75, 5, 44]",0
50,20,51,20,80,10,20,30,70,23634,2021-06-27 08:52:56,"[20, 80, 10, 20, 30, 70]","[50, 20, 51]",1
55,23,47,20,80,10,20,30,70,35432,2021-06-10 08:51:09,"[20, 80, 10, 20, 30, 70]","[55, 23, 47]",0
17,11,60,20,80,10,20,30,70,56791,2021-06-18 11:08:28,"[20, 80, 10, 20, 30, 70]","[17, 11, 60]",0
17,14,47,20,80,10,20,30,70,33840,2021-06-23 14:17:43,"[20, 80, 10, 20, 30, 70]","[17, 14, 47]",0
54,21,44,20,80,10,20,30,70,23590,2021-06-27 13:46:13,"[20, 80, 10, 20, 30, 70]","[54, 21, 44]",0
76,9,51,20,80,10,20,30,70,46605,2021-06-20 17:58:27,"[20, 80, 10, 20, 30, 70]","[76, 9, 51]",0
60,25,64,20,80,10,20,30,70,85363,2021-06-25 10:14:53,"[20, 80, 10, 20, 30, 70]","[60, 25, 64]",0
43,19,80,20,80,10,20,30,70,65268,2021-06-22 09:15:49,"[20, 80, 10, 20, 30, 70]","[43, 19, 80]",0
16,7,63,20,80,10,20,30,70,48040,2021-06-18 08:43:49,"[20, 80, 10, 20, 30, 70]","[16, 7, 63]",0
64,12,51,20,80,10,20,30,70,50775,2021-06-15 14:34:12,"[20, 80, 10, 20, 30, 70]","[64, 12, 51]",1
68,11,73,20,80,10,20,30,70,71155,2021-06-23 10:38:34,"[20, 80, 10, 20, 30, 70]","[68, 11, 73]",0
46,15,51,20,80,10,20,30,70,71700,2021-06-15 08:53:20,"[20, 80, 10, 20, 30, 70]","[46, 15, 51]",1
71,6,30,20,80,10,20,30,70,31770,2021-06-14 08:15:18,"[20, 80, 10, 20, 30, 70]","[71, 6, 30]",0
17,15,77,20,80,10,20,30,70,64712,2021-06-26 10:49:38,"[20, 80, 10, 20, 30, 70]","[17, 15, 77]",0
43,22,60,20,80,10,20,30,70,62645,2021-06-13 12:40:56,"[20, 80, 10, 20, 30, 70]","[43, 22, 60]",0
62,20,36,20,80,10,20,30,70,22180,2021-06-25 18:37:09,"[20, 80, 10, 20, 30, 70]","[62, 20, 36]",1
16,20,48,20,80,10,20,30,70,32599,2021-06-26 13:15:04,"[20, 80, 10, 20, 30, 70]","[16, 20, 48]",0
55,10,32,20,80,10,20,30,70,73254,2021-06-29 08:31:09,"[20, 80, 10, 20, 30, 70]","[55, 10, 32]",1
20,18,51,20,80,10,20,30,70,85661,2021-06-13 14:01:27,"[20, 80, 10, 20, 30, 70]","[20, 18, 51]",1
